timestamp,type,indoor,location_id,sampling_rate,P1,P2,durP1,durP2,ratioP1,ratioP2,temperature,humidity,pressure,altitude,pressure_sealevel,brightness,dust_density,vo_raw,voltage,P10,P25,durP10,durP25,ratioP10,ratioP25
2015-05-05 08:05:21.009751+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14922.47,3699.48,2738640,1018236,18.26,6.79
2015-05-05 08:05:05.801315+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,15526.55,3226.29,2798884,901232,18.66,6.01
2015-05-05 08:04:50.589918+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13359.51,3510.53,2573596,972140,17.16,6.48
2015-05-05 08:04:35.381014+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14610.66,3478.12,2706808,964148,18.05,6.43
2015-05-05 08:04:20.170226+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13949.51,3526.63,2637552,976100,17.58,6.51
2015-05-05 08:04:04.961268+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,15230.74,3748.08,2769612,1029956,18.46,6.87
2015-05-05 08:03:49.750359+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13943.58,3410.71,2636920,947452,17.58,6.32
2015-05-05 08:03:34.539083+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12246.37,3315.33,2446832,923644,16.31,6.16
2015-05-05 08:03:19.327196+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14976.42,3213.73,2744096,898056,18.29,5.99
2015-05-05 08:03:04.119030+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13604.49,3406.35,2600408,946368,17.34,6.31
2015-05-05 08:02:48.910494+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14185.81,3336.36,2662588,928912,17.75,6.19
2015-05-05 08:02:33.698878+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,15685.60,3519.73,2814444,974404,18.76,6.50
2015-05-05 08:02:18.490477+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,17986.16,3695.50,3026972,1017272,20.18,6.78
2015-05-05 08:02:03.278640+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,16636.57,3602.63,2905032,994712,19.37,6.63
2015-05-05 08:01:48.066729+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,19128.39,3189.17,3124772,891832,20.83,5.95
2015-05-05 08:01:32.859209+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12524.79,3162.16,2479332,884976,16.53,5.90
2015-05-05 08:01:17.648030+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,16854.28,3285.51,2925208,916160,19.50,6.11
2015-05-05 08:01:02.439924+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,19356.69,5143.81,3143776,1343540,20.96,8.96
2015-05-05 08:00:47.227051+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,17122.36,3986.78,2949776,1086728,19.67,7.24
2015-05-05 08:00:32.016398+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,16495.93,4539.66,2891892,1213172,19.28,8.09
2015-05-05 08:00:16.806951+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,16220.05,4216.82,2865860,1140188,19.11,7.60
2015-05-05 08:00:01.595814+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,16018.60,3192.15,2846636,892588,18.98,5.95
2015-05-05 07:59:46.384304+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,11194.17,2969.04,2318744,835456,15.46,5.57
2015-05-05 07:59:31.175586+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13549.38,3581.16,2594408,989468,17.30,6.60
2015-05-05 07:59:15.963926+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12427.38,3221.18,2468024,899940,16.45,6.00
2015-05-05 07:59:00.755554+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13377.93,3055.74,2575624,857792,17.17,5.72
2015-05-05 07:58:45.544093+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12639.05,3061.75,2492512,859332,16.62,5.73
2015-05-05 07:58:30.335997+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14323.72,3153.91,2677052,882876,17.85,5.89
2015-05-05 07:58:15.124818+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12574.56,3420.39,2485084,949856,16.57,6.33
2015-05-05 07:57:59.916087+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13655.39,3480.45,2605932,964724,17.37,6.43
2015-05-05 07:57:44.704924+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,10690.80,2820.04,2254264,796676,15.03,5.31
2015-05-05 07:57:29.496228+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14805.90,3355.83,2726800,933780,18.18,6.23
2015-05-05 07:57:14.284746+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14724.64,3159.52,2718504,884304,18.12,5.90
2015-05-05 07:56:59.075649+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,11651.57,3744.80,2375488,1029168,15.84,6.86
2015-05-05 07:56:43.864866+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14400.01,3241.13,2685008,904980,17.90,6.03
2015-05-05 07:56:28.652978+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14084.52,3379.00,2651896,939560,17.68,6.26
2015-05-05 07:56:13.444290+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13403.85,3290.78,2578476,917484,17.19,6.12
2015-05-05 07:55:58.232980+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12560.22,2957.03,2483428,832348,16.56,5.55
2015-05-05 07:55:43.024697+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12842.28,3762.37,2515732,1033392,16.77,6.89
2015-05-05 07:55:27.812758+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12857.29,3052.16,2517436,856872,16.78,5.71
2015-05-05 07:55:12.601291+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14628.15,3181.49,2708608,889884,18.06,5.93
2015-05-05 07:54:57.392805+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14022.88,3575.14,2645360,987996,17.64,6.59
2015-05-05 07:54:42.185576+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12365.04,3235.06,2460752,903448,16.41,6.02
2015-05-05 07:54:26.972862+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14627.41,2861.19,2708532,807436,18.06,5.38
2015-05-05 07:54:11.761278+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,10341.65,2757.68,2208208,780300,14.72,5.20
2015-05-05 07:53:56.552581+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,10366.51,2964.73,2211524,834340,14.74,5.56
2015-05-05 07:53:41.342085+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12747.94,3604.30,2504988,995120,16.70,6.63
2015-05-05 07:53:26.133667+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,15351.96,3365.56,2781660,936208,18.54,6.24
2015-05-05 07:53:10.921923+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13824.09,3430.26,2624132,952304,17.49,6.35
2015-05-05 07:52:55.710395+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13052.93,3318.87,2539508,924532,16.93,6.16
2015-05-05 07:52:40.502163+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14690.84,3466.67,2715044,961320,18.10,6.41
2015-05-05 07:52:25.289371+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13686.16,3304.69,2609264,920976,17.40,6.14
2015-05-05 07:52:10.081880+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,11051.58,3198.49,2300700,894196,15.34,5.96
2015-05-05 07:51:54.870408+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,17526.92,3821.90,2986296,1047656,19.91,6.98
2015-05-05 07:51:39.661422+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,15608.33,3319.62,2806900,924720,18.71,6.16
2015-05-05 07:51:24.449844+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,15258.72,3900.04,2772400,1066252,18.48,7.11
2015-05-05 07:51:09.238313+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,15131.79,3671.43,2759724,1011444,18.40,6.74
